,class,Message
834,ham,surely result offer
835,ham,good morning dear great amp successful day
836,spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
837,ham,sir late paying rent past months pay ltgt charge felt would inconsiderate nag something give great cost speak however recession able pay charge month hence askin well ahead months end please help thanks
838,spam,tried contact offer new video phone anytime network mins half price rental camcorder call reply delivery wed
839,spam,last chance claim worth discount voucherstext yes nowsavamobmember offers mobile cs sub remove txt x stop
840,ham,love soo much dont understand special r ring morrow love xxx
841,ham,pls send comprehensive mail paying much
842,ham,prashanthettans mother passed away last night pray family
843,spam,urgent call landline complimentary ibiza holiday cash await collection sae tcs po box sk wp ppm
844,ham,kkwhen going
845,ham,meanwhile shit suite xavier decided give us ltgt seconds warning samantha coming playing jays guitar impress shit also think doug realizes live anymore
846,ham,stomach thru much trauma swear cannot eat better lose weight
847,ham,officewhats mattermsg nowi call break
848,ham,yeah barely enough room two us x many fucking shoes sorry man see later
850,ham,reach orchard already wan go buy tickets first
851,ham,real baby want bring inner tigress
852,ham,da run activate full version da
853,ham,ah poor babyhope urfeeling bettersn love probthat overdose work hey go careful spoke sn lots lovejen xxx
854,ham,stop story told returned hes saying order
855,spam,talk sexy make new friends fall love worlds discreet text dating service text vip see could meet
856,ham,going take babe
857,ham,hai ana tomarrow coming morning ltdecimalgt ill sathy go rto office reply came home
858,ham,spoons okay
859,ham,say somebody named tampa
860,ham,work going min
861,ham,brother genius
862,ham,sorry guess whenever get hold connections maybe hour two ill text
863,ham,find time bus coz need sort stuff
864,ham,dude seeing lotta corvettes lately
865,spam,congratulations awarded either yrs supply cds virgin records mystery gift guaranteed call tscs wwwsmsconet pm approx mins
866,ham,consider walls bunkers shit important never play peaceful guess place high enough matter
867,spam,private account statement xxxxxx shows unredeemed points call identifier code expires
868,spam,hello need posh birds chaps user trial prods champneys put need address dob soon possible ta r
869,spam,want xmas free text messages new video phone half price line rental call free find
870,ham,well officially philosophical hole want call home ready saved
871,ham,going goodno problembut still need little experience understand american customer voice
872,ham,ill text drop x
873,ham,ugh long day exhausted want cuddle take nap
874,ham,talk atleast day otherwise miss best friend world shakespeare shesil ltgt
875,spam,shop till drop either k k cash travel voucher call ntt po box crbt fixedline cost ppm mobile vary
876,ham,castor need see something
877,spam,sunshine quiz wkly q win top sony dvd player know country liverpool played mid week txt ansr sptyrone
878,spam,secret admirer looking make contact ufind rreveal thinks specialcall
879,spam,secret admirer looking make contact ufind rreveal thinks specialcall stopsms
880,spam,reminder downloaded content already paid goto oit mymoby tv collect content
881,ham,see knew giving break times woul lead always wanting miss curfew going gibe til one midnight movie going get til need come home need getsleep anything need b studdying ear training
882,ham,love give massages use lots baby oil fave position
883,ham,dude go sup
884,ham,yoyyooo know change permissions drive mac usb flash drive
885,ham,gibbs unsoldmike hussey
886,ham,like talk pa able know
887,ham,dun cut short leh dun like ah failed quite sad
888,ham,unbelievable faglord
889,ham,wifehow knew time murder exactly
890,ham,ask princess
891,ham,great princess thinking
892,ham,nutter cutter ctter cttergg cttargg ctargg ctagg
893,ham,ok noe ure busy really bored message oso know wat colour choose one
894,ham,g class early tomorrow thus trying smoke ltgt
895,ham,superb thought grateful everything want means still opportunity happier tomorrow today
896,ham,hope good week checking
897,ham,used hope agents drop since booked things year whole boston nyc experiment
898,ham,thursday night yeah sure thing well work
900,ham,probably money worries things coming due several outstanding invoices work two three months ago
901,ham,possible teach
902,ham,wonder phone battery went dead tell love babe
903,ham,lovely smell bus tobacco
904,ham,getting worried derek taylor already assumed worst
905,ham,hey charles sorry late reply
906,spam,lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap
907,ham,ill give plus said grinule greet whenever speak
908,ham,white fudge oreos stores
909,spam,january male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop texts call pmin
910,ham,love come took long leave zahers got words ym happy see sad left miss
911,ham,sorry hurt
912,ham,cannot feel nauseous pissed eat sweets week today planning pig dieting week hungry
913,ham,ok lor early still project meeting
914,ham,call da waiting call
915,ham,could ask carlos could get anybody else chip
916,ham,actually send reminder today wonderful weekend
917,ham,people see msgs think iam addicted msging wrong bcoz know iam addicted sweet friends bslvyl
918,ham,hey gave photo registered driving ah tomorrow want meet yck
919,ham,talk ever ok word
920,ham,wana see
921,ham,way school pls send ashleys number
922,ham,shall fine avalarr hollalater
923,ham,went attend another two rounds todaybut still didt reach home
924,ham,actually deleted old websitenow blogging magicalsongsblogspotcom
925,ham,k wait chikkuil send aftr ltgt mins
926,ham,diet ate many slices pizza yesterday ugh always diet
927,ham,ki give kvb acc details
928,ham,oh come ah
929,spam,money r lucky winner claim prize text money million give away pptxnormal text rate box wtjy
930,ham,really sorry b able fridayhope find alternativehope yr terms going ok
931,ham,congratulations ore mo owo wa enjoy wish many happy moments fro wherever go
932,ham,samus shoulders yet
933,ham,time think need know near campus
934,spam,dear matthew please call landline complimentary lux tenerife holiday cash await collection ppm sae tcs box skxh
935,ham,dun wear jeans lor
936,ham,since side fever vomitin
937,ham,kkare college
938,spam,urgent call landline complimentary tenerife holiday cash await collection sae tcs box hp yf ppm
939,ham,better made friday stuffed like pig yesterday feel bleh least writhing pain kind bleh
940,ham,sell well tons coins sell coins someone thru paypal voila money back life pockets
941,ham,lots places hospitals medical places safe
942,spam,getting touch folks waiting company txt back name age opt enjoy community psms
943,ham,also sorta blown couple times recently id rather text blue looking weed
944,ham,sent scores sophas secondary application schools think thinking applying research cost also contact joke ogunrinde school one less expensive ones
945,ham,cannot wait see photos useful
946,spam,cashbalance currently pounds maximize cashin send go pmsg cc po box tcrw
947,ham,hey booked kb sat already lessons going ah keep sat night free need meet confirm lodging
948,ham,chk belovd ms dict
949,ham,time want come
950,ham,awesome let know whenever around
951,ham,shb b ok lor thanx
952,ham,beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves good night
953,ham,also remember get dobbys bowl car
954,spam,filthy stories girls waiting
955,ham,sorry c message yar lor poor thing one night tomorrow ull brand new room sleep
956,ham,love decision feeling could decide love life would much simpler less magical
957,ham,welp apparently retired
958,ham,sort code acc bank natwest reply confirm sent right person
959,ham,
960,ham,sure cannot take sick time
961,spam,urgent trying contact todays draw shows prize guaranteed call land line claim validhrs
963,ham,yo chad gymnastics class want take site says christians class full
965,ham,better still catch let ask sell ltgt
966,ham,sure night menu know noon menu
967,ham,want come backa beautiful necklace token heart youthats give wife likingbe seeno one give thatdont call mei wait till come
968,ham,willing go aptitude class
969,ham,b trying sort house ok
970,ham,yar lor wan go c horse racing today mah eat earlier lor ate chicken rice
971,ham,haha awesome omw back
972,ham,yup thk e shop closes lor
973,ham,account number
974,ham,eh send wrongly lar
975,ham,hey ad crap nite borin without ya boggy boring biatch thanx wait til nxt time il ave ya
976,ham,ok shall talk
977,ham,hesitate know second time weakness like keep notebook eat day anything changed day sure nothing
978,ham,hey pay salary de ltgt
979,ham,another month need chocolate weed alcohol
980,ham,started searching get job dayshe great potential talent
981,ham,reckon need town eightish walk carpark
982,spam,congrats mobile g videophones r call videochat wid mates play java games dload polyph music noline rentl
983,ham,look fuckin time fuck think
984,ham,yo guess dropped
985,ham,carlos says hell mu ltgt minutes
986,ham,office call ltgt min
987,ham,geeee miss already know think fuck cannot wait till next year together loving kiss
988,ham,yun ahthe ubi one say wan call tomorrowcall look ireneere got bus ubi cres ubi tech parkph st wkg daysn
989,ham,ugh got drive back sd la butt sore
990,ham,th july
991,ham,hi relaxing time ever get every day party good night get home tomorrow ish
992,ham,wan come come lor din c stripes skirt
993,ham,xmas story peace xmas message love xmas miracle jesus hav blessed month ahead amp wish merry xmas
994,ham,cannot number
995,ham,change e one next escalator
996,ham,yetunde class run water make ok pls
997,ham,lot happened feels quiet beth aunts charlie working lots helen mo
998,ham,wait bus stop aft lect lar dun c go get car come back n pick
999,ham,aight thanks comin
1000,ham,nobut heard tat
1003,ham,ltgt think say syllabus
1004,ham,umma say anything
1005,ham,give sec think think
1006,spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd call optout
1007,ham,quite know still cannot get hold anyone cud pick bout pm see pub
1008,ham,poyyarikatur kolathupalayam unjalur post erode dis ltgt
1009,ham,dear hero leaving qatar tonite apt opportunitypls keep touch ltemailgt kerala
1010,ham,lol would mom would fit tell whole family crazy terrible
1011,ham,got home babe still awake
1012,ham,know close oredi v fan
1013,ham,buy pizza meat lovers supreme get pick
1014,ham,ya toldshe asking wats matter
1015,ham,dear regret cudnt pick calldrove frm ctla cochin homeleft mobile carente style ishtamayoohappy bakrid
1016,spam,free st week nokia tone mob every week txt nokia get txting tell mates wwwgetzedcouk pobox wwq normptone
1017,ham,shall send exe mail id
1018,ham,nope watching tv home going v bored
1019,ham,knowwait check
1020,ham,good afternoon glorious anniversary day sweet j hope finds happy content prey think send teasing kiss across sea coaxing images fond souveniers cougarpen
1021,spam,guess somebody know secretly fancies want find give us call landline dateboxessexcmxn pmin
1022,ham,still tonight
1023,ham,may call later pls
1024,ham,pattern recently crap weekends
1025,ham,sore throat scratches talk
1026,ham,yes da plm office
1027,ham,around still asleep v
1028,ham,lol forgot eh yes ill bring babe
1029,ham,good well find way
1030,ham,use foreign stamps country good lecture
1031,ham,yup bathe liao
1032,ham,happy new year man
1033,ham,oh mr sheffield want play game okay boss nanny give raise ill give one
1034,ham,zoe hit fucking shitin il defo try hardest cum morow love millions lekdog
1035,ham,hello baby get back moms setting computer filling belly goes loverboy miss already sighs
1036,ham,blankets sufficient thanks
1037,ham,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
1038,ham,edison rightly said fool ask questions wise man answer know us speechless viva gm
1039,ham,talking de
1040,ham,today going college able atten class
1041,ham,class holla later
1043,ham,mmm better got roast id b better drinks good indian
1044,spam,know someone know fancies call find pobox lshb p
1045,ham,come round
1046,ham,thing change sentence want concentrate educational career leaving
1047,spam,flirting txt girl bloke name age eg girl zoe join get chatting
1048,ham,walked hour c doesnt show care believe serious
1049,spam,days euro kickoff kept informed latest news results daily unsubscribe send get euro stop
1050,ham,available soiree june rd
1051,ham,noe wat time e place dat sells closes
1052,ham,got another job one hospital data analysis something starts monday sure thesis got finished
1053,ham,jays getting really impatient belligerent
1054,ham,hiya comin bristol st week april les got rudi new yrs eve snoringthey drunk bak college yet work sends ink bath
1055,ham,work please call
1056,ham,drive lor
1057,ham,ard like dat
1058,ham,tell female v throwing deciding get
1059,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkentp
1060,ham,working technical support voice processnetworking field
1061,ham,might come kerala daysso prepared take leave finalise plan travel visitneed finish urgent works
1062,ham,ok sure time though sure get library class try see point good eve
1063,spam,new local dates area lots new people registered area reply date start wwwflirtpartyus replys
1064,ham,fine ill bitch later
1065,ham,mum went dentist
1066,ham,free call sir waiting
1067,ham,meeting work tel shall work tomorrow
1068,spam,someone know asked dating service contact cannot guess call revealed po box wu
1069,ham,jus finish bathing
1070,ham,alright ill make sure car back tonight
1071,spam,urgent trying contact todays draw shows prize guaranteed call land line claim c validhrs
1072,spam,dear uve invited xchat final attempt contact txt chat
1073,ham,lul gettin juicy gossip hospital two nurses talking fat gettin one thinks obese oyea
1074,ham,aight ill get fb couple minutes
1075,ham,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz
1076,ham,download clear movies dvd copies
1077,ham,yep pretty sculpture
1078,ham,convey regards
1079,ham,watching surya movie pm vijay movie pokkiri
1080,ham,tell happen behave like ok need say
1081,ham,get pic msgs phone
1082,ham,send someone else
1083,ham,wat makes people dearer de happiness dat feel meet de pain feel miss dem
1084,ham,love start attractioni feel need every time around meshe first thing comes thoughtsi would start day end hershe every time dreamlove every breath namemy life happen around hermy life named heri would cry herwill give happiness take sorrowsi ready fight anyone heri love craziest things herlove proove anyone girl beautiful lady whole planeti always singing praises herlove start making chicken curry end makiing sambarlife beautiful thenwill get every morning thank god day mei would like say lotwill tell later
1085,ham,frndship like needle clock though v r clock v r nt able met evn v meet itz seconds bt v alwys stay conected gud
1086,ham,think spatula hands
1087,ham,never nothing
1088,spam,awarded sipix digital camera call landline delivery within days cs box mbp yr warranty ppm p p
1089,ham,goodmorning today late ltdecimalgt min
1090,spam,win urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm
1091,ham,please da call mistake side sorry da pls da goto doctor
1092,ham,r meeting
1093,ham,well weather calis great complexities great need car move freely taxes outrageous great place sad part missing home
1094,ham,reached home tired come tomorro
1095,ham,ryder unsoldnow gibbs
1096,spam,dear subscriber draw gift voucher b entered receipt correct ans elvis presleys birthday txt answer
1097,ham,fret ill buy ovulation test strips send get til like march send postal addressull alrightokay
1098,ham,gifts trying get throw cliff something
1099,ham,ne thing interesting good birthday wrking nxt started uni today
1100,ham,busy come point figure tomorrow
1101,ham,yeah go bored depressed sittin waitin phone ring hope wind drops though scary
1102,ham,black shirt n blue jeans thk c
1103,ham,aiyah sorry lor watch tv watch forgot check phone
1104,spam,message important information user today lucky day find log onto wwurawinnercom fantastic surprise awaiting
1105,ham,hen night going swing
1106,ham,good afternoon love goes day woke early online waiting hmmm italian boy online see grins
1107,ham,someone smoke every time smoked last two weeks calling texting wanted smoke
1108,ham,get headache trying figure trust math promise
1109,ham,sfirst timedhoni rocks
1110,ham,ok ill tell company
1111,ham,awesome think get th usf time tonight
1112,ham,means still think teju
1113,ham,good movie ok leave hourish
1114,ham,nothis kallis home groundamla home town durban
1115,ham,let us make saturday monday per convenience
1116,ham,hey time driving fri go evaluation fri
1117,spam,price claim call
1118,ham,going lunch wif family aft dat go str orchard lor
1119,spam,bored speed dating try speedchat txt speedchat like txt swap get new chatter chat poboxwwq pmsg rcd
1120,ham,cancel cheyyamoand get money back
1121,spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow
1122,ham,okok okthenwhats todays plan
1123,ham,good morning princess
1124,ham,aiyar sorry lor forgot tell
1125,spam,taking part mobile survey yesterday texts use however wish get txts send txt tc wwwtxtcom p
1126,ham,tonight mate catching sleep new number way
1127,ham,height oh shit situation guy throws love letter gal falls brothers head gay
1128,spam,hmv quiz cashbalance currently maximize cashin send hmv pmsg
1129,ham,check errors difficulties correction
1130,ham,howz painhope r fine
1134,ham,wake already thanx e tau sar piah quite nice
1135,ham,k need login anything
1136,spam,forget place many free requests stchoicecouk wish information call
1137,ham,lol busy
1138,ham,wearing
1140,ham,ohas usual vijay film different
1141,spam,know know send chat let us find pmsg rcvd hgsuitelandsrowwjhl ldn years
1142,ham,good day mine really busy much tomorrow night
1143,ham,way send shades stuff wonderful
1144,ham,really tot paper ended long ago wat copied jus got use happy lar still haf study
1145,spam,thank winner notified sms good luck future marketing reply stop customer services
1146,ham,babe lost
1147,ham,ok help ask working tomorrow
1148,ham,driving raining ill get caught e mrt station lor
1149,ham,drop tank
1150,ham,said text one time
1152,ham,ok go change also
1153,spam,girls many local r virgins r ready fil every sexual need fil text cute p
1154,ham,find sitter kaitlyn sick slept day yesterday
1155,ham,sorry man accidentally left phone silent last night check til got
1156,ham,hey something came last min think wun signing tomorrow hee
1157,ham,hes adult would learn experience real danger like peeps using drugs need comment
1158,ham,hey veggie pizza
1159,ham,yun buying school got offer plus
1160,ham,sure neighbors pick
1161,ham,k sent
1164,ham,well computerless time make oreo truffles
1165,ham,haha yeah see sec
1166,ham,number sir
1167,ham,lol hot air balloon
1168,ham,ok bus come soon come otherwise tomorrow
1169,ham,msgs r time passthey silently say thinking right also making think least moment gd ntswt drms shesil
1170,ham,yeah probably swing roommate finishes girl
1171,spam,got takes take part wrc rally oz lucozade energy text rally le p see packs lucozadecoukwrc itcould
1172,ham,happy new years melody
1173,ham,dun need pick gf
1174,ham,yay better told girls either
1175,ham,horrible eat macs eat forgot already rite take long reply thk toot b b prepared wat shall eat
1176,ham,say fantastic chance anything need bigger life lift losing live think would first person die n v q
1177,ham,nw came hme da
1178,ham,outside islands head towards hard rock run
1179,ham,day class class
1180,ham,chennai velachery
1181,ham,flippin shit yet
1182,ham,k give sec breaking ltgt cstore
1183,ham,much bad avoid like
1184,ham,yo around got car back
1185,ham,annoying
1186,ham,goodmorning today late ltgt min
1187,ham,point hangin mr right hes makin happy
1188,ham,come alivebetter correct good looking figure
1189,ham,case guess ill see campus lodge
1190,ham,done
1191,ham,come home one last time anything trust
1192,ham,night worrying appt shame missed girls night quizzes popcorn hair
1193,spam,sex mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabecouk pics wk
1194,ham,ok c ya
1195,spam,new voicemail please call
1196,ham,said matter mind saying matter
1198,ham,al moan n e thin goes wrong faultal de arguments r faultfed himso bother hav go thanxxx
1199,ham,neft transaction reference number ltgt rs ltdecimalgt credited beneficiary account ltgt lttimegt ltgt
1200,ham,otherwise part time job natuition
1201,ham,know called
1202,ham,also da feel yesterday night wait til day night dear
1203,ham,thanks understanding trying tell sura
1204,spam,win year supply cds store choice worth enter weekly draw txt music tscs wwwldewcomsubswinppmx
1205,ham,whole car appreciated last two dad map reading semi argument apart things going ok p
1206,spam,sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr
1207,ham,need strong arms
1208,ham,also maaaan missing
1209,ham,birthday real april
1210,ham,guessin going
1211,ham,ok come home half hour
1212,ham,yo game almost want go walmart soon
1213,ham,yeah probably sure ilol let know personally wuldnt bother goin mite well
1214,ham,ill text creepy like think forgot
1215,ham,would good ill phone tomo lunchtime shall organise something
1216,spam,new voicemail please call
1217,ham,damn make tonight want wait til tomorrow
1218,ham,kkim also finewhen complete course
1219,ham,true passable get high score apply phd get years salary makes life easier
1220,spam,nokia tone mob every week txt nok st tone free get txtin tell friends ptone reply hl info
1221,ham,prakesh know
1222,ham,teach apps da come college
1223,ham,rofl betta invest anti aging products
1225,ham,sir receive account another hr time sorry delay
1226,spam,reply name address receive post weeks completely free accommodation various global locations wwwphbcom php
1227,ham,submitting da project tomorrow rite
1228,spam,free entry weekly comp send word enter tc wwwtextcompcom cust care
1229,ham,jus ans lar ull noe later
1230,ham,want send something sell fast ltgt k easy money
1231,ham,got things may pub later
1232,ham,finish meeting call
1233,ham,lol ok ill snatch purse
1234,ham,hellodrivbyquit edrunk sorry iff pthis makes senrddnot dancce drum n basqihave fun nhite x ros xxxxxxx
1236,ham,much getting
1237,ham,paper e morn aft tomorrow
1238,ham,dear relieved westonzoyland going plan end
1239,ham,hope great new semester wish best made greatness
1240,ham,oh yes speak txt hmm get email
1241,ham,want show world princess europe
1242,ham,nobody decide eat dad wants chinese
1243,ham,shoot docs waiting room
1244,ham,going dinner soon
1245,ham,hello site download songs urgent pls
1246,ham,know mean king havin credit goinbed night night sweet onlymore sleep
1247,ham,horrible gal sch stuff come got mc
1248,ham,hi hun comin nitetell every sorry hope ava goodtimeoli rang melnite ifink mite b sorted il explain everythin monlrsx
1251,spam,please call immediately urgent message waiting
1252,ham,yeah like goes like friends going flip shit like half hour
1253,ham,mum say wan go go shun bian watch da glass exhibition
1254,ham,plan pongal
1255,ham,wait till end march el nino gets oh
1256,ham,yet chikkugoing room nw bus
1257,ham,also cbe pay
1258,ham,honey boo missing
1259,ham,sent jd customer service cum accounts executive mail id details contact us
1260,ham,yo parents gettin cash good news picked downstem
1261,ham,thank much skyped wit kz sura get pleasure company hope good given ultimatum oh countin aburo enjoy
1262,spam,hungry gay guys feeling hungry call pmin stop texts call pmin
1263,ham,ok wahala remember friend need
1264,ham,see half hour
1265,ham,inperialmusic listeningthe weirdest track ever byleafcutter johnsounds like insects molestedsomeone plumbing remixed evil men acid
1266,ham,hey sorry didntgive ya bellearlier hunny
1267,ham,seriously tell exact words right
1268,spam,get phone want chat set meet call cum moro love jane xx callsminmoremobsemspoboxpowa
1269,ham,tee hee lecture cheery bye bye
1270,ham,sorry chikku cell got problem thts nt able reply message
1271,ham,still collected dough pls let know go place sent get control number
1272,ham,ok
1273,spam,network operator service free cs visit biz
1274,ham,let know contact settled room let us know ok
1275,ham,wot weirdo
1276,ham,lor
1277,ham,put phone silent mode ok
1278,ham,meet depends wan lor
1279,ham,waiting tv show start lor leh still busy report
1280,ham,oh ho first time use type words
1281,ham,one stalk profiles
1282,ham,ever green quote ever told jerry cartoon person irritates always one loves vry much fails express gud nyt
1283,ham,yes thought thanks
1284,ham,drinkin ok
1285,ham,wondering others took
1286,ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng
1287,ham,dog must always wait till end day word run time cell already
1288,ham,happy new year
1289,ham,heygreat dealfarm tour pm pax deposit may
1290,ham,eat jap done oso aft lect wat got lect rite
1291,ham,hey babe saw came online second disappeared happened
1292,ham,da birthdate certificate april real date today publish shall give special treat keep secret way thanks wishes
1293,ham,happy birthday may dreams come true
1294,ham,aiyah ok already lar e nydc wheellock
1295,ham,tell said eat shit
1296,ham,sure driving reach destination soon
1297,ham,k much th fifty
1298,ham,daily text favour time
1299,ham,great hear settling well happenin wit ola
1300,ham,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one
1301,ham,tot reach liao said tshirt
1302,ham,fran decided go n e way completely broke knackered got bout c mrw love janx ps dads fone credit
1304,ham,right ill make appointment right
1305,ham,designation software developer may get chennai
1306,spam,enjoy jamster videosound gold club credits new videosounds logosmusicnews get fun jamstercouk help call
1307,spam,get lions england tone reply lionm mono lionp poly go wwwringtonescouk original n best tones gbp network operator rates apply
1308,ham,jokin oni lar busy wun disturb
1309,ham,ok careful text drive
1310,ham,ill always even spirit ill get bb soon trying sure need
1311,ham,r much close heart go away shattered plz stay
1312,ham,love babe r sure everything alrite idiot txt bak girlie
1313,ham,making pics bigger
1314,ham,got got colours lor one colour quite light n e darker lor actually done styling hair
1315,ham,whenevr sad whenevr gray remembr listn watevr want say jus walk wid little amp promise ill bring back smile
1316,ham,nothing ok anyway give treat
1317,spam,win newest harry potter order phoenix book reply harry answer questions chance first among readers
1319,ham,correct work today
1320,ham,sent scream moan bed princess
1321,ham,wake long ago already know thing
1322,ham,oh getting even
1323,ham,thk shd ok said plus minus leave line paragraphs
1324,ham,call plz number shows coveragd area urgnt call vasai amp reach clock call plz
1325,ham,yeah jays sort fucking retard
1326,ham,sorry bathroom sup
1327,spam,balance next question sang uptown girl answer txt answer good luck
1328,ham,exam february wish great day
1329,ham,know come ask questions like mistake
1330,ham,aight rush ill ask jay
1331,ham,good morning plz call sir
1332,ham,ok lar sleep early nite
1333,ham,oh icic k lor den meet day
1334,ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grins
1335,ham,sometimes put walls around hearts safe getting hurt find cares enough break walls amp get closer goodnoon
1336,ham,sweet may may go meet carlos gauge pattys interest
1337,ham,buying today need c meh
1338,ham,aight sorry take ten years shower plan
1339,ham,every mondaynxt week vl completing
1340,ham,might ax well
1341,ham,chill another hrs could sleep pain surgical emergency see unfolds okay
1342,ham,yeah ill try scrounge something
1343,ham,crazy ar hes married like gd looking guys frens like say hes korean leonas fave dun thk aft thinking mayb prob ill go
1344,ham,somewhere fredericksburg
1345,ham,que pases un buen tiempo something like
1346,ham,ok stay night xavier sleeping bag getting tired
1347,ham,need test
1348,ham,nothing much chillin home super bowl plan
1349,spam,freeday sexy st georges day pic jordantxt pic miss every wk saucy celeb pics c pocketbabecouk wk
1350,ham,bugis oso near wat
1351,ham,yo class tomorrow right
1352,ham,let heart compass mind map soul guide never loose worldgnun sent via waysmscom
1353,ham,goodnight sleep well da please take care pa please
1354,ham,baaaaabe misss youuuuu go teach class
1356,ham,ned convince tht possible witot hurting feeling main
1357,ham,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy
1358,ham,start sending blackberry torch nigeria find buyer melike month tell dad buy bb anyone oh
1359,ham,ltgt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis wil get gud news friday person like tomorrow best day life break chain break suffer send ltgt frnds ltgt mins whn read
1360,ham,yo dude guess got arrested day
1361,ham,shuhui say change suntec steamboat noe r
1362,ham,dance river
1363,ham,yetunde sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger
1364,ham,hey really pretty late want go lesson first join reaching tp mrt
1365,spam,hot live fantasies call p per min ntt ltd po box croydon cr wb k
1366,ham,bbq sat mine ish welcome come
1367,ham,know thing wrong everyso often panicks starts goin bout bein good enough
1368,ham,alright outhave good night
1369,ham,try making another butt
1370,ham,hope feeling great pls fill abiola
1371,ham,though shd go n fun bar town something sound ok
1372,ham,go write message put dictionary mode cover screen hand press ltgt gently remove hand interesting
1373,spam,bears pic nick tom pete dick fact types try gay chat photo upload call pmin stop texts call
1374,spam,new mobiles must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg txtauction
1375,ham,finally ready fyi
1376,ham,auntie huai juan never pick phone
1377,spam,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers calloptoutlf
1378,ham,ya tel wats problem
1380,ham,dnt wnt tlk wid
1381,ham,spend days waiting ideal path appear front us forget paths made walking waiting goodnight
1382,ham,ok arm feeling weak cuz got shot go another time
1383,ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei already see netno ticket availablei want book ticket tackle
1384,ham,storming message wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone get name person
1385,ham,ok popped ask bout something said would around tonght wen girl comes
1386,ham,e best exam later
1387,ham,hope head hurt much ploughing way pile ironing staying chinky tonight come round like
1388,ham,oh ki think wi nz players unsold
1389,ham,haha got fast lose weight thk muz go month den got effect gee later go aust put bk e weight
1390,ham,wonder got online love gone net cafe get phone recharged friends net think boytoy
1391,ham,haha kidding papa needs drugs
1392,ham,thk shld b ya wana go lessons haha go one whole stretch
1393,ham,oh ok
1394,ham,r still meeting dinner tonight
1395,ham,cool gentleman treat dignity respect
1396,ham,shall start hear
1397,ham,wait lor need feel bad lar
1398,ham,check got detailed message
1399,ham,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone
1400,ham,decided people care stuff vote caring stuff losers
1401,ham,kaiez enjoy tuition gee thk e second option sounds beta ill go yan jiu den message
1403,ham,cool fun practicing making babies
1404,ham,actually getting ready leave house
1405,ham,kkany special today
1406,spam,urgent important information user today lucky day find log onto wwurawinnercom fantastic surprise awaiting
1407,ham,got
1408,ham,got ten bucks jay noncomittal
1409,ham,hungry
1410,ham,pls speak customer machan
1411,ham,somewhere beneath pale moon light someone think dreams come true goodnite amp sweet dreams
1413,spam,dear uve invited xchat final attempt contact txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yrs
1414,ham,wats opinion character
1415,ham,jay snickering tells x totally fucking chords speak
1416,ham,nofew hours beforewent hair cut
1417,ham,wonder cos dun rem seeing silver car thk saw black one
1418,ham,lmao take pic send
1419,ham,speak feel words better silence gud mrng
1420,ham,currently scotland
1421,ham,work week
1422,spam,congratulations awarded either cd gift vouchers free entry weekly draw txt music tncs wwwldewcom winppmxage
1423,ham,lol great getting hungry
1424,ham,yes saw message
1425,ham,ill mu like ltgt seconds
1427,ham,thing r good thanx got exams march done revision fran still boyf got interviw exeter bit worriedx
1428,ham,tell make little spreadsheet track whose idea smoke determine smokes much entire month february
1429,spam,sale arsenal dartboard good condition doubles trebles
1430,ham,look back building coat want get sick hurry home wear coat gym
1431,ham,painful personal thought always try keep everybody happy time nobody recognises alone
1432,ham,thanks lovely wisheds rock
1433,ham,intrepid duo great time see soon
1434,ham,asked sen come chennai search job
1435,ham,dad went oredi
1436,ham,jus hope true missin cos really missin done anything feel guilty yet
1437,ham,wat late still early mah juz go dinner lor aiya know
1438,ham,arms fine cardiff uni
1439,ham,fact leave think addie goes back school tues wed
1440,ham,cool breeze bright sun fresh flower twittering birds waiting wish goodmorning amp nice day
1441,ham,yagoing restaurant
1442,ham,ok askd knw tht
